name,type,source,address,grow,lat,lon
196 Albany Avenue Park/Playground,Community Garden,CUSP,"1113 Prospect Ave, Brooklyn, NY 11218, USA",Outdoor,40.65567009999999,-73.9763801
Union Street Garden (Eastern Parkway Coalition Garden),Community Garden,CUSP,"1029 Union St, Brooklyn, NY 11225, USA",Outdoor,40.6701409,-73.9592565
Ponderosa Garden,Community Garden,CUSP,"664 E 105th St, Brooklyn, NY 11236, USA",Outdoor,40.6490524,-73.8969585
400 Montauk Avenue Block Association Community Garden,Community Garden,CUSP,"383 Montauk Ave., Brooklyn, NY 11208, USA",Outdoor,40.6688449,-73.8764221
Ashford Learning Garden,Community Garden,CUSP,"341 Ashford St, Brooklyn, NY 11207, USA",Outdoor,40.6740421,-73.8849468
Chestnut Street Community Garden,Community Garden,CUSP,"9 Chestnut St, Brooklyn, NY 11208, USA",Outdoor,40.687672,-73.87631739999999
Clara's Garden,Community Garden,CUSP,"579 Glenmore Ave, Brooklyn, NY 11207, USA",Outdoor,40.674405,-73.88904099999999
El Jardin Del Pueblo,Community Garden,CUSP,"2358 Pitkin Ave, Brooklyn, NY 11207, USA",Outdoor,40.6732073,-73.8853367
Elton Court Garden/UJIMA II,Community Garden,CUSP,"317 Elton St, Brooklyn, NY 11208, USA",Outdoor,40.67534920000001,-73.8836098
Family Community Garden,Community Garden,CUSP,"793 Cleveland St, Brooklyn, NY 11208, USA",Outdoor,40.665125,-73.88120959999999
Fannie Barnes Children's Playground,Community Garden,CUSP,"447 Sheffield Ave, Brooklyn, NY 11207, USA",Outdoor,40.6658772,-73.89507069999999
Glenmore Grown Garden,Community Garden,CUSP,"496 Glenmore Ave, Brooklyn, NY 11207, USA",Outdoor,40.673558,-73.891983
Linwood Street Garden (Pagan's Garden),Community Garden,CUSP,"580 Linwood St, Brooklyn, NY 11208, USA",Outdoor,40.6709892,-73.8820849
Nehemiah Ten Community Garden,Community Garden,CUSP,"565 Barbey St, Brooklyn, NY 11207, USA",Outdoor,40.6687027,-73.8862414
P.S. 4K Paradise Garden,Community Garden,CUSP,"676 Glenmore Ave, Brooklyn, NY 11207, USA",Outdoor,40.6746736,-73.8852694
The Ujima I Garden,Community Garden,CUSP,"660 New Jersey Ave, Brooklyn, NY 11207, USA",Outdoor,40.6628981,-73.8928931
Warwick Street Greenery Glow Community Garden,Community Garden,CUSP,"601 Warwick St, Brooklyn, NY 11207, USA",Outdoor,40.6686543,-73.8843657
East 43rd Street Block Association Community Garden,Community Garden,CUSP,"1087 E 43rd St, Brooklyn, NY 11210, USA",Outdoor,40.6285131,-73.93444319999999
Lentol Garden,Community Garden,CUSP,"484 Graham Ave, Brooklyn, NY 11222, USA",Outdoor,40.7199404,-73.94572889999999
Hull Street Community Garden,Community Garden,CUSP,"227 Hull St, Brooklyn, NY 11233, USA",Outdoor,40.680128,-73.90768
